ngame,datewhen,probs,bet_coef,win_bet
33086,2020-10-15T21:44:18Z,0.75,1.52,TRUE
18535,2020-10-15T22:48:19Z,0.755,1.544,TRUE
23415,2020-10-16T00:08:18Z,0.774,1.69,FALSE
34316,2020-10-16T08:10:22Z,0.65,1.765,TRUE
10628,2020-10-16T09:18:33Z,0.769,1.67,TRUE
20008,2020-10-16T10:18:20Z,0.65,1.74,TRUE
6923,2020-10-16T16:14:23Z,0.73,1.58,TRUE
8596,2020-10-16T16:20:29Z,0.741,1.52,FALSE
34783,2020-10-16T16:28:33Z,0.65,1.712,TRUE
31921,2020-10-16T16:30:22Z,0.742,1.53,TRUE
7421,2020-10-16T17:18:24Z,0.735,1.6,FALSE
15314,2020-10-16T17:18:24Z,0.794,1.52,TRUE
505,2020-10-16T17:35:10Z,0.74,1.71,TRUE
36532,2020-10-16T18:10:25Z,0.65,1.704,FALSE
5915,2020-10-16T18:20:24Z,0.774,1.51,FALSE
33113,2020-10-16T18:36:25Z,0.745,1.536,FALSE
7378,2020-10-16T19:08:25Z,0.869,1.51,TRUE
10066,2020-10-16T19:10:43Z,0.728,1.55,FALSE
22178,2020-10-16T19:23:45Z,0.796,1.56,TRUE
611,2020-10-16T19:23:49Z,0.778,2.17,TRUE
17020,2020-10-16T19:23:49Z,0.753,1.58,TRUE
25892,2020-10-16T19:23:49Z,0.727,1.55,FALSE
35076,2020-10-16T19:36:43Z,0.744,1.51,FALSE
3756,2020-10-17T04:28:19Z,0.732,1.51,TRUE
33607,2020-10-17T06:06:21Z,0.65,1.71,FALSE
27710,2020-10-17T06:22:22Z,0.65,1.71,TRUE
7407,2020-10-17T07:28:22Z,0.785,1.51,FALSE
4688,2020-10-17T08:38:20Z,0.734,1.52,TRUE
29406,2020-10-17T10:04:35Z,0.65,1.73,FALSE
2543,2020-10-17T10:14:59Z,0.65,1.755,FALSE
31829,2020-10-17T10:58:22Z,0.737,1.51,FALSE
16918,2020-10-17T11:26:22Z,0.933,1.57,TRUE
35435,2020-10-17T12:32:28Z,0.757,1.52,TRUE
13509,2020-10-17T12:56:23Z,0.736,1.52,TRUE
13140,2020-10-17T13:20:27Z,0.768,1.51,TRUE
6064,2020-10-17T13:52:28Z,0.766,1.63,TRUE
21839,2020-10-17T13:52:28Z,0.65,1.704,FALSE
10235,2020-10-17T14:14:33Z,0.729,1.51,TRUE
11783,2020-10-17T14:44:42Z,0.734,1.71,FALSE
9885,2020-10-17T14:46:35Z,0.745,1.55,TRUE
27091,2020-10-17T15:12:29Z,0.736,1.68,TRUE
32014,2020-10-17T16:38:28Z,0.749,1.51,TRUE
19877,2020-10-17T17:16:28Z,0.65,1.76,TRUE
19690,2020-10-17T17:30:46Z,0.65,1.712,FALSE
9230,2020-10-17T17:36:31Z,0.765,2.13,TRUE
24264,2020-10-17T18:04:26Z,0.808,1.57,TRUE
14707,2020-10-17T18:16:28Z,0.757,1.54,FALSE
3868,2020-10-17T18:38:27Z,0.734,1.95,FALSE
7400,2020-10-17T19:14:25Z,0.738,1.51,TRUE
27781,2020-10-17T20:02:23Z,0.75,1.72,TRUE
6095,2020-10-18T02:08:18Z,0.769,1.53,FALSE
22787,2020-10-18T02:26:21Z,0.65,1.71,FALSE
27747,2020-10-18T05:24:20Z,0.65,1.71,FALSE
22350,2020-10-18T07:38:21Z,0.763,1.51,TRUE
10629,2020-10-18T09:18:35Z,0.775,1.51,TRUE
31730,2020-10-18T09:28:24Z,0.794,1.55,TRUE
3969,2020-10-18T10:28:22Z,0.731,1.57,TRUE
6734,2020-10-18T11:32:22Z,0.853,1.7,TRUE
13515,2020-10-18T11:52:27Z,0.7,1.83,TRUE
12479,2020-10-18T12:42:24Z,0.751,1.52,FALSE
34790,2020-10-18T12:46:23Z,0.65,1.755,FALSE
3737,2020-10-18T12:54:23Z,0.74,1.58,TRUE
18138,2020-10-18T13:26:24Z,0.751,1.53,TRUE
13513,2020-10-18T14:12:24Z,0.845,1.51,TRUE
36525,2020-10-18T14:34:29Z,0.729,1.53,TRUE
14497,2020-10-18T14:58:25Z,0.65,1.704,TRUE
7135,2020-10-18T15:44:25Z,0.774,1.55,TRUE
33482,2020-10-18T16:08:28Z,0.747,1.755,FALSE
3876,2020-10-18T16:20:28Z,0.733,1.59,TRUE
4415,2020-10-18T17:10:28Z,0.65,1.71,FALSE
25482,2020-10-18T17:30:34Z,0.747,1.55,FALSE
11116,2020-10-18T18:48:22Z,0.732,1.51,TRUE
29116,2020-10-19T00:04:19Z,0.65,1.71,TRUE
34317,2020-10-19T04:54:19Z,0.788,1.696,TRUE
18541,2020-10-19T07:30:22Z,0.731,1.7,TRUE
18148,2020-10-19T15:40:19Z,0.736,1.55,TRUE
12561,2020-10-19T18:56:23Z,0.727,1.504,TRUE
22740,2020-10-19T18:58:28Z,0.744,1.51,TRUE
28468,2020-10-19T19:02:46Z,0.754,1.59,FALSE
17191,2020-10-19T19:40:21Z,0.745,1.592,TRUE
3257,2020-10-19T19:54:27Z,0.65,1.725,FALSE
30923,2020-10-19T20:30:21Z,0.788,1.68,TRUE
3295,2020-10-19T21:12:18Z,0.65,1.704,FALSE
5086,2020-10-19T22:00:20Z,0.746,1.56,TRUE
32435,2020-10-20T02:16:17Z,0.73,1.62,TRUE
32214,2020-10-20T05:22:19Z,0.75,1.55,FALSE
27752,2020-10-20T11:06:19Z,0.65,1.79,TRUE
19907,2020-10-20T11:46:19Z,0.76,1.525,TRUE
13138,2020-10-20T12:50:21Z,0.65,1.82,TRUE
20418,2020-10-20T13:56:21Z,0.79,1.685,FALSE
33456,2020-10-20T18:34:23Z,0.65,1.704,TRUE
11874,2020-10-20T18:42:30Z,0.758,1.6,TRUE
8495,2020-10-20T18:58:21Z,0.741,1.53,TRUE
26105,2020-10-20T20:50:21Z,0.735,1.57,TRUE
24883,2020-10-21T04:32:19Z,0.768,1.51,TRUE
20356,2020-10-21T04:36:19Z,0.65,1.71,TRUE
16234,2020-10-21T05:28:19Z,0.731,1.616,TRUE
15281,2020-10-21T10:54:21Z,0.745,1.544,FALSE
13129,2020-10-21T11:14:21Z,0.65,1.79,FALSE
9620,2020-10-21T11:58:21Z,0.732,1.52,TRUE
12941,2020-10-21T12:12:23Z,0.65,2.07,TRUE
4290,2020-10-21T12:38:21Z,0.754,1.62,TRUE
15205,2020-10-21T13:40:22Z,0.65,1.704,TRUE
15246,2020-10-21T16:16:23Z,0.792,1.59,TRUE
30496,2020-10-21T17:32:24Z,0.795,1.51,TRUE
14788,2020-10-21T18:06:23Z,0.65,1.71,FALSE
682,2020-10-21T18:12:47Z,0.65,1.73,TRUE
12502,2020-10-21T21:12:20Z,0.65,1.704,FALSE
33383,2020-10-21T21:32:20Z,0.65,1.736,TRUE
13704,2020-10-22T04:24:18Z,0.65,1.712,TRUE
24885,2020-10-22T04:30:19Z,0.65,1.73,TRUE
29048,2020-10-22T10:24:20Z,0.789,1.54,TRUE
9918,2020-10-22T15:56:22Z,0.809,1.57,TRUE
23242,2020-10-22T16:26:21Z,0.65,1.74,TRUE
30112,2020-10-22T18:06:22Z,0.778,1.53,TRUE
7380,2020-10-22T18:44:22Z,0.65,1.71,TRUE
12902,2020-10-22T18:52:22Z,0.785,1.712,TRUE
22761,2020-10-22T19:14:22Z,0.65,1.79,TRUE
17363,2020-10-23T02:28:17Z,0.65,1.84,FALSE
13705,2020-10-23T05:26:17Z,0.65,1.75,FALSE
7777,2020-10-23T07:46:21Z,0.777,1.525,TRUE
25589,2020-10-23T09:52:28Z,0.798,1.55,TRUE
12808,2020-10-23T12:38:22Z,0.786,1.52,FALSE
24762,2020-10-23T13:00:35Z,0.65,1.736,TRUE
18553,2020-10-23T14:28:21Z,0.813,1.585,TRUE
19260,2020-10-23T17:08:26Z,0.75,1.77,FALSE
15409,2020-10-23T18:24:23Z,0.65,1.88,FALSE
24082,2020-10-23T22:40:19Z,0.65,1.73,TRUE
9479,2020-10-24T08:48:21Z,0.776,1.53,TRUE
32080,2020-10-24T09:26:25Z,0.76,1.59,TRUE
35945,2020-10-24T10:24:22Z,0.77,1.62,TRUE
24042,2020-10-24T11:26:24Z,0.731,1.57,TRUE
24890,2020-10-24T11:54:23Z,0.741,1.61,TRUE
26714,2020-10-24T14:04:28Z,0.726,1.57,TRUE
13516,2020-10-24T14:42:28Z,0.65,1.715,FALSE
5064,2020-10-24T14:50:27Z,0.65,1.89,TRUE
31746,2020-10-24T15:11:34Z,0.745,1.58,FALSE
4373,2020-10-24T15:28:30Z,0.726,1.57,TRUE
22375,2020-10-24T15:42:29Z,0.65,1.79,TRUE
25182,2020-10-24T17:08:29Z,0.65,1.704,FALSE
6694,2020-10-24T18:56:27Z,0.65,1.73,TRUE
6241,2020-10-24T19:02:55Z,0.65,1.74,TRUE
27855,2020-10-24T19:06:25Z,0.65,1.736,FALSE
10182,2020-10-24T19:18:59Z,0.736,1.56,TRUE
35826,2020-10-24T19:34:25Z,0.766,1.58,FALSE
13039,2020-10-25T06:38:27Z,0.65,1.71,TRUE
19386,2020-10-25T11:18:22Z,0.778,1.63,FALSE
21524,2020-10-25T11:32:22Z,0.802,1.66,TRUE
31828,2020-10-25T11:38:29Z,0.732,1.6,TRUE
4027,2020-10-25T12:16:23Z,0.761,1.57,FALSE
28804,2020-10-25T12:30:25Z,0.771,1.56,FALSE
34050,2020-10-25T12:50:24Z,0.734,1.59,TRUE
9218,2020-10-25T14:36:24Z,0.65,1.71,FALSE
504,2020-10-25T15:24:27Z,0.75,1.725,TRUE
9248,2020-10-25T15:28:48Z,0.734,1.71,FALSE
18160,2020-10-25T16:34:23Z,0.7,1.87,FALSE
10440,2020-10-25T18:18:27Z,0.752,1.58,TRUE
18402,2020-10-25T18:28:26Z,0.729,1.57,TRUE
22746,2020-10-25T19:48:23Z,0.65,1.73,FALSE
25102,2020-10-25T19:50:37Z,0.731,1.704,TRUE
11887,2020-10-25T20:56:25Z,0.743,1.65,TRUE
15867,2020-10-25T21:36:21Z,0.754,1.59,TRUE
15868,2020-10-26T06:20:23Z,0.815,1.575,TRUE
28486,2020-10-26T06:24:21Z,0.759,1.696,TRUE
27226,2020-10-26T08:58:28Z,0.65,1.725,FALSE
28016,2020-10-26T09:44:20Z,0.73,1.77,TRUE
35183,2020-10-26T17:52:23Z,0.742,1.768,TRUE
15570,2020-10-27T14:46:20Z,0.7,1.725,FALSE
20572,2020-10-27T17:04:21Z,0.73,1.62,FALSE
20267,2020-10-27T19:20:24Z,0.73,1.62,TRUE
27966,2020-10-28T05:10:20Z,0.792,1.56,FALSE
11081,2020-10-28T10:00:21Z,0.65,1.768,FALSE
24896,2020-10-28T11:48:25Z,0.65,1.725,FALSE
19070,2020-10-28T12:04:23Z,0.65,1.78,FALSE
9295,2020-10-28T12:36:23Z,0.65,1.71,TRUE
4592,2020-10-28T15:52:20Z,0.65,1.855,TRUE
21365,2020-10-28T17:52:26Z,0.756,1.56,TRUE
9609,2020-10-28T18:04:35Z,0.753,1.89,FALSE
19315,2020-10-28T19:38:25Z,0.78,1.73,FALSE
4551,2020-10-28T19:56:25Z,0.733,1.555,TRUE
30227,2020-10-29T09:58:21Z,0.65,1.712,TRUE
24898,2020-10-29T11:40:33Z,0.65,1.725,TRUE
34676,2020-10-29T12:10:32Z,0.65,1.744,FALSE
28434,2020-10-29T12:52:30Z,0.65,1.71,TRUE
12437,2020-10-29T13:02:31Z,0.742,1.57,TRUE
15877,2020-10-29T13:13:41Z,0.734,1.575,TRUE
5244,2020-10-29T18:00:40Z,0.747,1.69,FALSE
30319,2020-10-30T10:50:37Z,0.65,1.785,FALSE
2577,2020-10-30T11:30:40Z,0.65,1.71,FALSE
7074,2020-10-30T13:08:40Z,0.698,1.6,TRUE
24715,2020-10-30T13:30:58Z,0.665,1.71,TRUE
4144,2020-10-30T14:10:38Z,0.71,1.57,TRUE
15395,2020-10-30T14:32:34Z,0.656,1.6,TRUE
6731,2020-10-30T15:30:35Z,0.655,1.57,TRUE
31954,2020-10-30T16:44:36Z,0.7,1.685,TRUE
14895,2020-10-30T16:56:36Z,0.657,1.56,FALSE
15407,2020-10-30T17:43:07Z,0.655,1.57,TRUE
506,2020-10-30T17:52:38Z,0.7,1.71,FALSE
24526,2020-10-30T18:42:39Z,0.657,1.6,TRUE
10062,2020-10-30T19:12:40Z,0.685,1.65,TRUE
34764,2020-10-30T19:24:40Z,0.713,1.57,TRUE
544,2020-10-30T19:30:55Z,0.689,1.56,FALSE
6204,2020-10-30T19:56:36Z,0.678,1.72,TRUE
16355,2020-10-30T20:00:39Z,0.671,1.57,FALSE
27844,2020-10-30T21:28:36Z,0.737,1.62,TRUE
32787,2020-10-31T06:26:35Z,0.725,1.6,TRUE
33604,2020-10-31T06:30:35Z,0.657,1.57,TRUE
14363,2020-10-31T08:52:37Z,0.669,1.6,TRUE
24766,2020-10-31T11:08:38Z,0.691,1.67,TRUE
31827,2020-10-31T11:28:37Z,0.672,1.73,TRUE
14786,2020-10-31T12:22:40Z,0.671,1.56,TRUE
18742,2020-10-31T12:24:54Z,0.763,1.64,TRUE
10234,2020-10-31T13:50:40Z,0.652,1.66,TRUE
2934,2020-10-31T14:04:43Z,0.711,1.61,FALSE
31868,2020-10-31T14:40:42Z,0.652,1.58,TRUE
29315,2020-10-31T15:10:41Z,0.687,1.65,FALSE
21262,2020-10-31T15:14:52Z,0.664,1.71,FALSE
4424,2020-10-31T15:17:03Z,0.655,1.56,TRUE
21950,2020-10-31T15:26:42Z,0.686,1.6,FALSE
581,2020-10-31T15:34:43Z,0.657,1.63,FALSE
20896,2020-10-31T15:39:12Z,0.712,1.59,FALSE
32011,2020-10-31T15:50:43Z,0.652,1.63,TRUE
30057,2020-10-31T16:20:42Z,0.669,1.58,FALSE
13795,2020-10-31T16:33:27Z,0.674,1.73,TRUE
653,2020-10-31T16:38:43Z,0.725,1.62,TRUE
26720,2020-10-31T18:16:39Z,0.739,1.57,TRUE
7180,2020-10-31T19:00:40Z,0.728,1.56,TRUE
24183,2020-10-31T19:07:16Z,0.655,1.64,TRUE
30049,2020-10-31T19:32:38Z,0.651,1.68,FALSE
6096,2020-11-01T02:26:28Z,0.729,1.58,FALSE
28516,2020-11-01T04:38:30Z,0.661,1.57,TRUE
1846,2020-11-01T04:40:41Z,0.67,1.685,FALSE
32788,2020-11-01T06:06:32Z,0.727,1.59,TRUE
21880,2020-11-01T06:38:31Z,0.657,1.56,TRUE
23408,2020-11-01T07:18:33Z,0.672,1.68,FALSE
28339,2020-11-01T08:44:36Z,0.679,1.59,FALSE
20235,2020-11-01T09:08:36Z,0.675,1.69,TRUE
17670,2020-11-01T10:10:40Z,0.797,1.83,TRUE
18187,2020-11-01T11:14:40Z,0.672,1.89,TRUE
6065,2020-11-01T11:48:38Z,0.651,1.76,TRUE
7815,2020-11-01T12:02:38Z,0.681,1.72,TRUE
17521,2020-11-01T12:08:40Z,0.666,1.62,FALSE
8467,2020-11-01T12:20:40Z,0.66,1.63,TRUE
35737,2020-11-01T13:02:40Z,0.758,1.59,TRUE
549,2020-11-01T13:13:14Z,0.693,1.64,TRUE
3878,2020-11-01T13:44:36Z,0.7,1.725,TRUE
24524,2020-11-01T14:26:35Z,0.696,1.59,TRUE
34528,2020-11-01T16:36:38Z,0.79,1.896,TRUE
35448,2020-11-01T17:26:39Z,0.687,1.66,FALSE
14554,2020-11-02T11:28:33Z,0.703,1.57,TRUE
8451,2020-11-02T18:34:36Z,0.73,1.57,FALSE
4648,2020-11-02T20:34:34Z,0.694,1.625,FALSE
10189,2020-11-02T20:44:34Z,0.709,1.57,TRUE
24274,2020-11-02T20:48:46Z,0.699,1.61,FALSE
19943,2020-11-03T08:51:05Z,0.743,1.864,TRUE
20232,2020-11-03T08:55:40Z,0.678,2.384,FALSE
21856,2020-11-03T17:12:37Z,0.717,1.63,TRUE
22320,2020-11-04T12:08:37Z,0.689,1.6,TRUE
14334,2020-11-04T12:10:52Z,0.7,1.66,TRUE
6949,2020-11-04T14:06:38Z,0.688,1.6,FALSE
11320,2020-11-04T15:02:35Z,0.677,1.59,TRUE
14607,2020-11-04T16:12:37Z,0.714,1.8,TRUE
33311,2020-11-04T16:22:37Z,0.692,1.59,TRUE
22928,2020-11-04T16:24:56Z,0.695,1.58,TRUE
10072,2020-11-04T17:24:40Z,0.792,1.56,TRUE
16399,2020-11-04T18:16:41Z,0.758,1.62,TRUE
35443,2020-11-04T18:24:57Z,0.689,1.57,TRUE
24070,2020-11-04T18:42:39Z,0.725,1.6,TRUE
36175,2020-11-04T21:38:35Z,0.725,1.6,TRUE
4493,2020-11-04T21:46:33Z,0.69,1.6,TRUE
24744,2020-11-04T23:24:32Z,0.724,1.56,TRUE
13467,2020-11-05T13:14:34Z,0.751,1.63,TRUE
16581,2020-11-05T15:02:31Z,0.686,1.69,TRUE
34242,2020-11-05T15:16:33Z,0.755,1.6,TRUE
17150,2020-11-05T17:48:35Z,0.689,1.62,TRUE
21963,2020-11-05T17:58:45Z,0.694,1.63,TRUE
19946,2020-11-06T09:10:35Z,0.696,1.575,FALSE
4033,2020-11-06T11:08:34Z,0.7,1.71,TRUE
21836,2020-11-06T14:04:31Z,0.701,1.68,FALSE
19276,2020-11-06T16:36:36Z,0.715,1.59,TRUE
24866,2020-11-06T17:18:35Z,0.733,1.58,FALSE
16920,2020-11-06T18:10:39Z,0.721,1.56,TRUE
29086,2020-11-06T19:10:36Z,0.733,1.56,TRUE
23337,2020-11-06T20:36:35Z,0.683,1.6,TRUE
19563,2020-11-07T03:32:29Z,0.723,1.59,TRUE
27753,2020-11-07T06:22:30Z,0.7,1.71,FALSE
22865,2020-11-07T07:40:30Z,0.691,1.82,TRUE
35903,2020-11-07T07:42:46Z,0.738,1.6,TRUE
13118,2020-11-07T09:36:34Z,0.692,1.69,TRUE
7071,2020-11-07T10:10:36Z,0.729,1.56,TRUE
3596,2020-11-07T10:20:34Z,0.692,1.6,FALSE
6061,2020-11-07T10:20:34Z,0.713,1.76,TRUE
14924,2020-11-07T10:26:41Z,0.699,1.57,FALSE
20337,2020-11-07T10:30:54Z,0.805,1.59,TRUE
1073,2020-11-07T10:40:34Z,0.75,1.69,TRUE
28372,2020-11-07T11:10:34Z,0.684,1.68,FALSE
31846,2020-11-07T11:32:34Z,0.677,1.73,TRUE
24914,2020-11-07T11:52:42Z,0.7,1.656,TRUE
11308,2020-11-07T12:26:39Z,0.691,1.59,FALSE
4986,2020-11-07T13:58:31Z,0.728,1.685,TRUE
9922,2020-11-07T15:26:38Z,0.677,1.76,FALSE
28855,2020-11-07T15:52:38Z,0.703,1.63,TRUE
23628,2020-11-07T15:54:48Z,0.753,1.57,FALSE
11182,2020-11-07T16:10:41Z,0.704,1.56,TRUE
18190,2020-11-07T16:22:40Z,0.764,1.59,TRUE
1397,2020-11-07T17:04:40Z,0.718,1.59,TRUE
22526,2020-11-07T18:08:41Z,0.717,1.57,FALSE
16353,2020-11-07T18:19:13Z,0.682,1.62,FALSE
10210,2020-11-07T19:00:43Z,0.715,1.58,TRUE
16075,2020-11-07T19:07:43Z,0.704,1.58,TRUE
27083,2020-11-07T19:34:38Z,0.681,1.63,FALSE
2423,2020-11-07T21:14:33Z,0.7,1.71,FALSE
7291,2020-11-07T21:40:32Z,0.676,1.64,FALSE
35904,2020-11-08T05:54:30Z,0.678,1.57,TRUE
21306,2020-11-08T06:08:34Z,0.722,1.59,TRUE
12083,2020-11-08T06:28:43Z,0.679,1.65,FALSE
32775,2020-11-08T07:58:30Z,0.686,1.73,FALSE
6176,2020-11-08T10:18:34Z,0.712,1.76,FALSE
2268,2020-11-08T11:06:34Z,0.741,1.61,FALSE
16193,2020-11-08T11:26:35Z,0.7,1.704,TRUE
15498,2020-11-08T12:56:57Z,0.715,1.61,FALSE
24740,2020-11-08T14:32:34Z,0.721,1.56,TRUE
31692,2020-11-08T14:38:47Z,0.691,1.56,TRUE
11245,2020-11-08T15:26:36Z,0.706,1.59,TRUE
31236,2020-11-08T15:36:35Z,0.68,1.57,TRUE
6727,2020-11-08T15:38:51Z,0.701,1.61,TRUE
17152,2020-11-08T16:24:35Z,0.7,1.74,TRUE
8473,2020-11-08T17:12:37Z,0.679,1.63,TRUE
6967,2020-11-08T17:34:39Z,0.75,1.68,FALSE
35234,2020-11-08T17:39:03Z,0.699,1.57,TRUE
9302,2020-11-08T17:44:53Z,0.681,1.62,TRUE
22372,2020-11-08T18:32:38Z,0.681,1.72,FALSE
3104,2020-11-08T19:02:35Z,0.714,1.81,TRUE
12878,2020-11-08T20:42:32Z,0.797,1.59,TRUE
32188,2020-11-09T05:26:32Z,0.694,1.57,FALSE
23347,2020-11-09T05:46:31Z,0.689,1.59,TRUE
28346,2020-11-09T13:12:33Z,0.695,1.64,TRUE
15087,2020-11-09T14:16:31Z,0.696,1.59,TRUE
27068,2020-11-09T18:28:33Z,0.732,1.61,FALSE
1488,2020-11-09T20:00:34Z,0.716,1.7,FALSE
7145,2020-11-09T20:10:33Z,0.709,1.59,TRUE
25600,2020-11-09T23:32:29Z,0.731,1.57,TRUE
24918,2020-11-10T12:26:44Z,0.7,1.725,FALSE
4978,2020-11-10T13:04:44Z,0.684,1.65,TRUE
32402,2020-11-10T15:34:40Z,0.741,1.736,FALSE
7852,2020-11-10T16:59:05Z,0.687,1.65,FALSE
27103,2020-11-10T17:40:49Z,0.681,1.74,TRUE
13065,2020-11-10T18:30:49Z,0.696,1.6,TRUE
23230,2020-11-10T18:38:54Z,0.691,1.59,FALSE
32012,2020-11-10T19:40:58Z,0.688,1.57,TRUE
22205,2020-11-10T20:01:10Z,0.681,1.76,FALSE
13466,2020-11-11T09:14:34Z,0.69,1.69,FALSE
20239,2020-11-11T09:52:33Z,0.705,1.65,TRUE
6978,2020-11-11T11:32:41Z,0.798,1.56,FALSE
28356,2020-11-11T11:44:37Z,0.721,1.56,FALSE
19646,2020-11-11T12:04:36Z,0.684,1.57,TRUE
18133,2020-11-11T15:48:34Z,0.736,1.755,FALSE
5165,2020-11-11T16:24:34Z,0.803,1.57,TRUE
11328,2020-11-11T17:26:38Z,0.685,1.62,TRUE
19658,2020-11-11T18:12:40Z,0.7,1.71,TRUE
17518,2020-11-11T18:48:38Z,0.683,1.65,FALSE
24210,2020-11-11T19:18:38Z,0.686,1.57,FALSE
13072,2020-11-11T19:24:44Z,0.68,1.57,FALSE
23631,2020-11-11T20:46:34Z,0.75,1.69,TRUE
19950,2020-11-12T08:26:33Z,0.718,1.675,FALSE
12432,2020-11-12T09:26:33Z,0.794,1.57,TRUE
30322,2020-11-12T11:32:35Z,0.689,1.584,TRUE
34297,2020-11-12T15:16:32Z,0.692,1.608,TRUE
6924,2020-11-12T17:20:36Z,0.783,1.65,TRUE
24060,2020-11-12T17:28:36Z,0.763,1.57,TRUE
557,2020-11-12T17:56:33Z,0.709,1.57,TRUE
22200,2020-11-12T18:08:42Z,0.681,1.59,FALSE
12130,2020-11-12T19:08:37Z,0.68,1.61,TRUE
33326,2020-11-12T20:10:39Z,0.789,1.73,FALSE
17353,2020-11-12T23:40:32Z,0.689,1.63,TRUE
24741,2020-11-13T01:58:28Z,0.687,1.71,FALSE
25502,2020-11-13T04:36:30Z,0.695,1.73,FALSE
7122,2020-11-13T05:00:36Z,0.727,1.59,TRUE
2385,2020-11-13T15:24:34Z,0.7,1.704,FALSE
26750,2020-11-13T20:34:39Z,0.678,1.59,FALSE
30940,2020-11-13T21:16:39Z,0.678,1.6,TRUE
10365,2020-11-14T01:42:27Z,0.705,1.57,TRUE
34281,2020-11-14T07:52:30Z,0.712,1.6,TRUE
3959,2020-11-14T09:14:34Z,0.689,1.65,FALSE
13133,2020-11-14T09:50:35Z,0.7,1.66,TRUE
26684,2020-11-14T10:52:32Z,0.686,1.65,FALSE
26758,2020-11-14T13:54:34Z,0.77,1.59,TRUE
33130,2020-11-14T15:36:37Z,0.69,1.56,TRUE
14609,2020-11-14T15:40:49Z,0.689,1.57,TRUE
2292,2020-11-14T16:04:38Z,0.759,1.56,TRUE
22193,2020-11-14T16:14:39Z,0.7,1.755,TRUE
21921,2020-11-14T17:04:39Z,0.7,1.68,TRUE
9260,2020-11-14T17:34:38Z,0.718,1.62,FALSE
26944,2020-11-14T17:56:40Z,0.678,1.712,FALSE
36604,2020-11-14T18:20:39Z,0.7,1.71,TRUE
32682,2020-11-14T18:27:10Z,0.69,1.61,FALSE
12194,2020-11-14T19:06:38Z,0.689,1.57,TRUE
32228,2020-11-14T23:18:29Z,0.734,1.59,FALSE
23254,2020-11-15T07:42:30Z,0.676,1.59,TRUE
4015,2020-11-15T10:08:33Z,0.713,1.86,TRUE
17988,2020-11-15T11:30:34Z,0.687,1.65,TRUE
7410,2020-11-15T13:30:33Z,0.676,1.63,TRUE
24528,2020-11-15T14:20:32Z,0.708,1.63,TRUE
16594,2020-11-15T16:16:36Z,0.756,1.57,TRUE
651,2020-11-15T16:28:36Z,0.701,1.59,FALSE
16345,2020-11-15T16:32:47Z,0.714,1.61,FALSE
13071,2020-11-15T18:16:35Z,0.703,1.56,FALSE
6188,2020-11-15T20:24:31Z,0.681,1.56,TRUE
